2015 Household Expenditure Report,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"Sunday, March 20, 2016",,,,Totals:,3513,2857,6370,6062494.56,6086388.60,6047538.55,6036964.65,6067672.00,6090124.15,4669630.04,4301371.88,4423624.05,4528205.94,4622542.80,4732192.30,3131.23,36391182.51,27277567.01,9113615.50,3.93%,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Case ID,Economic Position,Occupation Type ,Home,Gender,Region,Adults,Children,Household,Jan Income,Feb Income,Mar Income,Apr Income,May Income,Jun Income,Jan Expenditure,Feb Expenditure,Mar Expenditure,Apr Expenditure,May Expenditure,Jun Expenditure,Average Income,Total Income,Total Expenditure,Net,Forecast Expenditure,
1955,Economically Inactive,Managerial or Professional,Owned,Male,South East,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,3296.73,3000.02,2820.02,2397.02,2253.20,2433.46,0.00,0.00,16200.45,-16200.45,16837.13,
2373,Economically Inactive,Managerial or Professional,Rented,Female,Midlands,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,733.48,806.83,734.22,668.14,574.60,649.30,0.00,0.00,4166.57,-4166.57,4330.32,
6049,Economically Inactive,Long Term Unemployed,Rented,Female,Yorkshire and the Humber,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,736.68,685.11,664.56,717.72,610.06,671.07,0.00,0.00,4085.2,-4085.20,4245.75,
4362,Economically Inactive,Routine or manual,Rented,Male,North West and Merseyside,1,1,2,7.70,7.78,8.55,7.16,8.01,6.55,493.9,464.27,473.56,449.88,440.88,392.38,7.63,45.75,2714.87,-2669.12,2821.56,
4375,Economically Inactive,Intermediate occupation,Rented,Female,Scotland,1,1,2,19.88,19.28,15.50,17.09,21.66,16.70,1594.77,1578.82,1641.97,1756.91,1651.50,1684.53,18.35,110.11,9908.5,-9798.40,10297.90,
6062,Economically Inactive,Not Classified,Rented,Female,London,1,1,2,20.21,19.81,15.36,15.56,22.64,22.03,1533.08,1180.47,1310.32,1441.35,1657.55,1889.61,19.27,115.61,9012.38,-8896.77,9366.57,
4353,Training Program,Intermediate occupation,Owned,Male,Midlands,1,1,2,19.25,17.33,22.14,16.36,23.87,20.60,823.67,733.07,813.71,707.93,630.06,693.07,19.93,119.55,4401.51,-4281.96,4574.49,
5299,Full-time working,Intermediate occupation,Owned,Female,London,2,1,3,200.00,0.00,0.00,0.00,0.00,0.00,1559.73,1700.11,1802.12,2126.50,1977.65,1878.77,33.33,200.00,11044.88,-10844.88,11478.94,
5778,Economically Inactive,Not Classified,Rented,Male,Eastern,1,1,2,36.31,41.03,29.41,43.21,38.85,39.58,1462.08,1374.36,1346.87,1602.78,1698.95,1936.80,38.07,228.39,9421.84,-9193.45,9792.12,
